ID	Name	WP	Activity Name	Start Month	End Month/ Planned End Date	Activity Status	Collaborating WPs	Supporting WPs	Linked Activities	Linked to All	Activity Category	Activity description	Research questions	Research Question type	Research Question type 2	Methodology	Methodology category	Data Types and Procurement	Collected	Generated	Data Procurement Method	Data Usage	PDCA Cycle	End Users	Water producers	Researchers	Water users	Contributions to Theory and Practice	THEORY	PRACTICE	Contribution to DU	Technology platforms	Policy Support and Guidance	Dissemination and Collaboration	Specific Disciplinary perspectives	Discipline	Single/Inter/Trans-disciplinary	Level of Engagement	Transdisciplinary perspectives	Thematic	Methodological	Fields of Scientific Contribution	IW Aims and Objectives	Contributions to IW aims and objectives
11	Jan	2	Spatial and temporal considerations in the performance of wastewater heat recovery systems	1	40	Completed			"9,10,12"		Publication	"This study illustrates a method to include both the spatial and temporal aspects in the assessment of the operation and feasibility of an effluent heat recovery system at a WWTP. This leads to a more detailed and comprehensive prediction of the actual recovered heat, and thus allows for a more precise prediction of the feasibility of such projects. The application on a case study in Ireland indicated the general practicability of the suggested method as well as the promising potential of wastewater heat recovery, and the role it can play to reach renewable energy and greenhouse gas reduction targets."	How can we include both the spatial and temporal aspects in the assessment of the operation and feasibility of an effluent heat recovery system at a WWTP  and heat demand in the vicinity?	How		"The integrated method consists of three phases in the analysis: the energetic analysis at the wastewater treatment plants, the spatio-temporal analysis, and the integration of these methods. The spatiotemporal analysis is the combination and integration of two analyses, a spatial one and a temporal one. The method is applied to a case study in Ireland"	Case study	"The annual heat demand, divided into four categories (residential, industrial, commercial and public sector), was obtained from the spatial analysis."	TRUE	TRUE	Field work	The method was applied to a case study in Ireland; the data was used in this application.	Check	Water companies; local authorities; energy companies; government	TRUE	TRUE	TRUE	Theory: this research contributes to the theory of DWHR from a spatial and temporal analysis perspective. Practice: the application to a case study demonstrates the enablers and barriers to deploy the method.	TRUE	TRUE	This work contributes to the application of DWHR at larger scale 	TRUE	FALSE	FALSE	This study fits within an engineering disciplinary field in terms of potential applications of DWHR at large scale	Engineering		Inform	"Although not yet explored, this work has potential to be linked to Aisha's work on DWHR in leisure centres in terms of temporal and spatial potential and limitatiosns"	FALSE	TRUE	Drain water heat recovery	Result-based approach	
12	Jan	2	Design and implementation of DWHR system at Penrhyn Castle	1	42	Completed			"10, 11, 13"		Installation/Demo site	"This project concerns the design, planning and installation of the DWHR system at Penrhyn Castle in N Wales"	How to design a DWHR system in a commercial kitchen setting	How		Case Study	Case Study	"Year long monitoring campaign of the temperature and flow volumes of drain water at several locations in and around the castle; DWHR design,cost estimate and tendering/procurement of equipment/contractors."	TRUE	TRUE	Field work	The data collected were used to design the system	Plan	Commercial kitchen ownners and managers; hospitality sector; governmet and local authorities; construction sector	TRUE	TRUE	TRUE	This work contributes to practice as it demosntrate a practical application of DWHR to save energy and reduce carbon emissions in a commercial kitchen setting.	FALSE	TRUE	This work contributes to the project objective of demonstrating DWHR at small scale (Whole building)	TRUE	FALSE	FALSE	This study fits within an engineering disciplinary field in terms of potential applications of DWHR at whole building scale	Engineering	Transdisciplinary	Share advice	"The design and installation was a collaborative efforts with the NTW staff, contractors and the Trinity teams."	FALSE	TRUE	Drain water heat recovery	Result-based approach	"This work contributes to the development and demonstration of a number of specific innovative products, services and cross-border tools. "
13	Ajeet	2	Ongoing functioning and monitoring of Penrhyn Castle heat recovery system	42	78	In Progress			"12, 14"		Installation/Demo site	Data recorded at Penrhyn Castle is monitored to assess how much heat is recovered from the system installed in the caf� 	How is the system peforming over time? What are the practical issues encountered?	How	What	Case Study	Case Study	Temperatures from different sensors are monitored remotely.	FALSE	TRUE	Field work	The data is used to assess how effective the technologies are  recoveing heat. In particular the data generated at Penrhyn Castle has been used to develop the Heat Recovery Tool	Check	Commercial kitchen ownners and managers; hospitality sector; governmet and local authorities; construction sector; NTW staff and visitors	TRUE	TRUE	TRUE	The maintenance and monitoring of the demonstration sites contribute to both theory and practice. Theory: how effective there technologies are. Practice: how do they perform in practical application? How to establish collaborations with the owners/managers of the sites to make sure the demo sites 'survive' after project ends? 	TRUE	TRUE	Demonstration sites are one of the objectives of the project; they also contribute to accelerating uptake of the innovative technological platform and the Smart Specialisation Cluster	TRUE	FALSE	TRUE	From an engineering perspective this work provides real application data that can be use to feedback in the design and installation plans to improve or change.	Engineering	Interdisciplinary	Share advice	The learning and new knowledge  can feed into a newer more calibrated Heat Recovery Tool (ID 15) . In addition the efficiency of the system will be used in activities 28 and 29. The monitoring of the demonstration site will feed into further sutdies under WP2 for DWHR within a grease trap. A demonstration site represents an opportunity for not only sharing knowledge but also for co-creating new knowledge in collaboration with visitors of the deom site and with the managers of the site (inthis case staff of NTWales). The demo site can be seen as a Living Lab	TRUE	TRUE	Drain water heat recovery	Result-based approach	"This work contributes to the development and demonstration of a number of specific innovative products, services and cross-border tools. In particular this contributes to 'Whole building DWHR system '."
14	Isabel 	4	Webinar: Don't flush money down the kitchen drain! How to recover heat from drain water in commercial kitchens and save costs and emissions. 	55	55	Completed	2	8	"6, 13, 15, 20, 30"		Event	Webinar to introduce heat recovery toolkit to public.	How can interest for drain water heat recovery amongst commercial kitchen owners be spurred? How can drain water heat recovery up-take be facilitated?	How		Survey amongst participants	Case Study	Feedback forms and Q&As.	TRUE	FALSE	Intervention	The data was used to assess how user-friendly the toolkit is and overall how it was received by the participants. 	Check	"owners, managers of commercial kitchens (restaurants, pubs, cafes, canteens in schools, offices and hospitals)"	FALSE	FALSE	TRUE	Practice: facilitating the application of drain water heat recovery in kitchens	FALSE	TRUE	This event contributes to dŵr Uisce's work of dissemination and collaboration. 	FALSE	FALSE	TRUE	"From an environmental point of view: application/translation of Life Cycle Assessment results into practice. From an outreach and dissemination it is interesting to see how the webinar was received by the participants, in particular the interactive use of the tool by kitchen owners."	Management	Interdisciplinary	Inform	The presentation of the toolkit during the webinar lead to a collaboration with the Rediscovery Centre as part of WP2 work on grease trap with heat exchanger for DWHR. Toolkit to be extended with research from WP2 on grease trap heat recovery.	FALSE	FALSE	"Education, Outreach and Engagement"	Cross-border additionality	The event contributed to the expansion of the cluster  and dissimination of the technology
15	Isabel 	4	Heat recovery toolkit	31	55	Completed	2	8	"14, 16"		Tool	"Development of a heat recovery toolkit for commercial kitchen owners (pubs, restaurants, cafes, canteens etc.) to get an estimate on their individual heat recovery potential from drain water, environmental and cost savings (or trade-offs); to support and facilitate uptake of heat recovery from drain water in commercial kitchens. "	How can the tool promote and support the implementation of heat recovery in commercial kitchens?	How		"results from the research on heat recovery in kitchen drains (row above, contribution from WP2 and WP4) was translated into an excel based toolkit/calculator. Layperson language guide to heat recovery and the results of the toolkit were added."	Modelling	"From previous research in WP2 and WP4, including monitoring studies at several kitchens by WP2, such as the kitchen at the demonstration site Penrhyn Castle."	TRUE	FALSE	Field work	A publication fed into the toolkit and the toolkit was also the base of a publication. The toolkit was presented in webinar.	Do	"owners, managers of commercial kitchens (restaurants, pubs, cafes, canteens in schools, offices and hospitals)"	FALSE	FALSE	TRUE	Practice: facilitating the application of drain water heat recovery in kitchens	FALSE	TRUE	This work contributes to dŵr Uisce objective of developing a toolkit for assessing the environmental and cost savings of installing a heat recovery device in commercial kitchens.	FALSE	TRUE	FALSE	"From an environmental point of view: application/translation of Life Cycle Assessment results into practice. From an outreach and dissemination it is interesting to see how the webinar was received by the participants, in particular the interactive use of the tool by kitchen owners."	Environmental Sciences	Interdisciplinary	Consult	"Results from research in WP2 and WP4 on heat recovery in commercial kitchens, combining engineering discipline and environmental management (LCA) discipline. Toolkit and webinar organised/ promoted through WP8 (communications and networking)."	TRUE	TRUE	EIA and low-carbon energy	Result-based approach	facilitating the realisation of a low-carbon technology for heating water
16	Isabel	4	Emissions down the drain: Balancing life cycle energy and greenhouse gas savings with resource use for heat recovery from kitchen drains	23	47	Completed	2	8	"10,12, 13"		Publication	"Exploring the environmental footprint of heat recovery installations for drain water heat recovery from commercial kitchens (Penrhyn castle and in general, kitchens in the UK)."	"1. What are the conditions for environmental sustainability of heat recovery in commercial kitchens, i.e. after which time and under which conditions is the environmental footprint from the heat recovery installation paid back through environmental savings from avoided energy. 2. How can the environmental footprint of the heat recovery installation be reduced?"	What	How	"Environmental burden of a heat recovery system (determined through a Life Cycle Assessment) was compared with potential savings of heating energy. Different heat recovery systems in terms of the amount and type of material used were explored. Also, kitchens with different water flow rates were investigated."	Assessment	"1. Primary data on the equipment (pieces, weight, material) necessary for recovering heat was from Penrhyn Castle demo site. 2. Heat recovery potential from drain water was estimated with monitored data (water consumption, temperature of drain water) from Penrhyn Castle tea rooms and three other commercial kitchens in Ireland."	TRUE	TRUE	Field work	1. Data on the equipement served for modelling the LCA. 2. Data from the monitored kitchens served to estimate heat recovery potential (= energy savings)	Plan	Commercial kitchen ownners and managers and academic and non-academic readers.	FALSE	TRUE	TRUE	"Theory: 90% of heat in UK's commercial kitchens drain water can be harvested in an environmentally sustainable way. Environmental burdens are likely to be paid back within a 10-year life time at a flowrate of 555 L/day or higher when considering that the UK water heating energy mix is replaced. Savings of 500kt CO2 eq achievable in theory. Heat recovery even beneficial when replacing renewable energy in most cases. Practice: Important to choose low-impact materials for the installation (recycled materials, or polymer instead of metal pipework). Heat recovery should be fostered in kitchens with flow rates higher than the threshold."	TRUE	TRUE	This research contributes to the development of tools to assess the environmental impact assessment of large water users in terms of their energy use. 	FALSE	TRUE	FALSE	"New knowledge was created on life cycle sustainability of drain water heat recovery system, which was previously only known for shower water heat recovery (with comparable technology) and which had not included the full heat recovery system but rather the heat exchanger alone, neglecting impacts from pipework and fittings."	Environmental Sciences	Interdisciplinary	Inform	Environmental life cycle sustainabiliy for kitchen drain water heat recovery could be shown for the first time through the collaboration from the environmental/LCA discipline and the civil engineering discipline.  Environmental footprint of heat recovery system was used again for research  in WP2 on grease trap heat recovery. Results fed into the heat recovery toolkit.	TRUE	TRUE	EIA and low-carbon energy	Result-based approach	Quantification of GHG saving potential through commercial kitchen heat recovery in the UK.
17	Isabel 	4	Circular use of feed by-products from alcohol production mitigates water scarcity	35	64	Completed			18		Publication	Publication: Life Cycle Assessment of whisky (Scotch Single Malt whisky) production and by-product use. Focus on water footprint and carbon emissions.	What is the water and carbon footprint of  whisky production? What are the environmental hotspots of whisky production? What is the most environmentally beneficial way of using the by-products (spent grain and pot ale)? By how much can the whisky footprint be offset through by-product use?	What	How	"Life Cycle Assessment (LCA) with focus on water footprint (water volume and water scarcity) and carbon emissions. Scope: Barley production, malting, distillery operations; by-product use: feed for cattle or bioenergy routes."	Assessment	Primary data from Arbikie distillery	TRUE	TRUE	Field work	Data from Arbikie distillery was used as inventory for the LCA	Do	"micro-distilleries, whisky distilleries, scientific LCA audience"	FALSE	TRUE	TRUE	Theory of environmental footprinf of whisky production and distillery operations in general. Theory of avoiding environmental footprint through by-product use (circular economy of distillery/alcohol production by-products). Practice: recommendation to reduce cooling water use and heating energy in distilleries/switch to renewable energy solutions. 	TRUE	TRUE	This stduy contributes to deepening the understandign of the water-energy nexus in large water users and to the objective of providing guidannce and support to imrpove the sustainability	FALSE	TRUE	FALSE	adds to LCA research discipline on food products and circular economy of food production residues. And to water use in food/drink production.	Environmental Sciences	Single Discipline	Inform	"No transdisciplinary work yet. Potential for blending Isabel's work with Jan's work. Potential to develop a new toolkit, based on the methodological approach of the commercial kitchens one."	TRUE	TRUE	EIA and low-carbon energy	Result-based approach	
18	Isabel 	4	Heat recovery and water reuse in micro-distilleries improves eco-efficiency of alcohol production	31	74	Completed	2		17		Publication	Exploring the environmental and financial benefits (and trade-offs) of recovering heat in a distillery from process and waste flows. Focus on the impact categories climate change (GHG emissions) and water scarcity impacts.	"1. Is it environmentally and financially sustainable to recover heat in distilleries? 2. Which is the ""best"" heat recovery configuration out of a set of three investigated ones? 3. Are there any trade-offs and how can they be prevented?"	What	How	"1. Environmental impacts (determined through Life Cycle Assessment) 2. Financial assessment (simple payback time and Net Present Value, NPV) considering capital investment costs and financial savings through energy (and water) savings. 3. An eco-efficiency score was obtained which combines environmental and financial performance"	Case Study	Data were obtained from Arbikie distillery for the production process to calculate heat recovery potentials; data from manufacturers of heat recovery equipment for material required and costs; Arbikie data on energy and water costs for the calculation of financial savings	TRUE	TRUE	Field work	"Data collected from Arbikie were used to calculate: heat recovery potentials, financial savings"	Check	"distilleries, especilly micro-distilleries"	FALSE	TRUE	TRUE	"theory of eco-efficiency methodology. Pratical example of financial and environmental viability of heat recovery in a distillery. Calculation of a ""housenumber"" of energy and cost savings of heat recovery. Recommendations on what to take into account when recovering heat (which processes to include; inclusion of heat sinks/users outside the distillery beneficial)"	TRUE	TRUE	"This study contributed to dŵr Uisce objective of heat recovery in large water users, such as distilleries"	FALSE	TRUE	FALSE	New knowledge was created on the environmental and financial sustainability of recovering heat in a distillery. 	Environmental Sciences	Interdisciplinary	Inform	"The combination of civil engineering discipline for heat recovery potential and the LCA discipline for the environmental benefits and tradeoffs, delivered for the first time a carbon and water scarcity footprint for different heat recovery solutions for distilleries. This work is part of an economic perspective that complements Daniele's work on cost (add). "	TRUE	TRUE	EIA and low-carbon energy	Result-based approach	Shows potential of carbon emission (and other emission) savings through heat recovery on a UK scale.
20	Richard	7	"Webinar: Impacts of climate change on future water availability for hydropower and public water supply in Wales, UK"	62	62	Completed		8	"6, 14,30"		Event	"A webinar chaired by Sopan Patil, with Richard Dallison as speaker, presenting the results of WP7 work on the impacts of future climate change on water resources in Wales, and the implications for hydropower production. Results for Wales were put in the context of the wider UK, and for other water abstractors."	"Q1. How will climate change impact the timing, quantity and quality of streamflow in Wales.  Q2. How will changing future straemflows impact on water available for abstraction for hydropower"	How	How	A one-hour webinar aimed at surface water abstractors in the UK and Ireland	Case Study	Data/information for webinar based on previous WP7 work	TRUE	FALSE	Desk study	"Used to create slides for webinar presentation, initial context first given, then a case study of hydropower used"	Do	"Webinar attendees from organisations such as water companies, environmental regulators etc."	TRUE	TRUE	TRUE	"One aim of the webinar was to provide future planning context for water abstractors, which may inform future management practice and/or planning and adaptation"	FALSE	TRUE	"Dissemination to external organisations. Led to potential collaboration with Welsh Water, which could lead to data sharing"	FALSE	FALSE	TRUE	Provides perspective on alteration in available water resources and water resource management	Geography	Transdisciplinary	Inform	"Results presented are relevant to any surface water abstractor in the region, and the streamflow patterns shown are relevant to any stakeholders who have an interest in changing streamflow timing and quantity (e.g., flood managers, etc.)"	TRUE	TRUE	Climate Change Assessment	Cross-sectoral relevance	The event contributed to the expansion of the SSC and dissimination of the results of the project
21	Richard	7	Climate change impact assessment for UK and Irish hydropower production	53	78	In Progress			"1, 2, 22,23"		Project	"Study investigating how future worst-case scenario climate change will impact on the timing and quantity of streamflow at 585 catchments across the UK and Ireland, and the knock-on implications of such changes for water abstraction at 531 hydropower locations in 178 catchments in England, Wales, Scotland, Ireland & Northern Ireland."	Q1. How will future climate change impact the timing and quantity of streamflow across the UK and Ireland.  Q2. How will changing future streamflows impact the water available for abstraction for hydropower and therefore generation potential.  Q3. Do nation specific environmental regulations have an impact on the ability of hydropower schemes to make the best use of future flows.	How	How	"Hydrological modelling of catchment streamflow using the EXP-HYDRO model under future climate change, using the latest projections for the region (UKCP18). Extrapolation of future streamflow from gauging station to hydropower locations in each catchment using Area Discharge Method. Statistical analysis of trends using Mann-Kendall test and Sen's slope estimator."	Modelling	"Streamflow timeseries for 585 catchments across the UK and Ireland. Each catchment modelled 12 times, based on all 12 ensemble members of the UKCP18 climate data.  Subsequent extrapolation of this streamflow to 531 hydropower sites in 178 catchments in England, Wales, Scotland, Northern Ireland and Ireland, based on the average of all 12 model outputs. Timeseries of abstraction potential for all 531 hydropower sites"	TRUE	TRUE	Desk study	Data used to assess how abstraction characterisitcs of hydropower sites will be impacted. Research paper under review.	Do	"Academics, hydropower scheme operators, water managers, environmental regulators, surface water abstractors"	TRUE	TRUE	TRUE	"Analysis on this UK-Ireland scale of the impact of future climate change on streamflow, using the latest UKCP climate projections has not been completed before. Results may inform future water resource management and planning across the region. In addition, the impact of future climate change on hydropower generation characteristics is also particularly novel, especially at the wider UK & Ireland scale. "	TRUE	FALSE	Future streamflow changes may influence the abstractable water resource for public water supply which may impact on some of the technologies being developed in the project. Publication and contribution to project deliverables	FALSE	TRUE	TRUE	"Provides a large scale overview of changes in future streamflows under a worst-case future climate change scenario, and the implications for run-of-river hydropower production"	Geography	Single Discipline	Inform	"Result gathered are applied to hydropower in particular, however the streamflow trend-analysis results more generally are applicable to any surface water abstractor. The results also may help to inform wider energy network/provision planning, due to the projections of future hydropower generation changes. (Add Daniele's comment)"	FALSE	TRUE	Climate Change Assessment	Cross-sectoral relevance	It contributes to the growth and maintenance of the cluster; to incresing visibility of the demonstration sites and support uptake of the innovation technologies
22	Richard	7	"Historical climate and streamflow characterisation study for Wales, with publication"	1	18	Completed			"2, 20, 23,21"		Project	"Study investigating the historical trends in mean and extreme streamflow, temperatures, and precipitation, in five catchments in Wales."	Q1. How have climatic factors (precipitation and temperature) changed in Wales since the 1980s?  Q2. What impact has changing climate had on streamflow during the same period?  Q3. Is there a difference between trends seen in average and extreme hydroclimatic timeseries?  Q4. What seasonal and spatial differences are present in any trends seen in the datasets?	How	What	"Mann-Kendall trend analysis of 34 years of historical temperature, precipitation and streamflow data for five catchments in Wales. In addition, historical total public water supply demand also compared to hydroclimatological factors to determine any relationships between weather conditions and water demand"	Assessment	"Daily streamflow, precipitation, and temperature datasets for 1982-2015 from the National River Flow Archive, for streamflow, and Climate Hydrology and Ecology research Support System (CHESS) dataset, for temperature and precipitation. Total water abstraction dataset for 2012-2016 supplied by dŵr Cymru Welsh Water for each abstraction location within the five catchments studied."	TRUE	FALSE	Desk study	Data used to assess how climate and streamflow have altered in Wales since the 1980s by trend analysis. Correlation used to determine the relationship between hydroclimatic factors studied and total water abstraction volume. Research paper published.	Do	"Academics, environmental regulators, surface water abstractors"	TRUE	TRUE	TRUE	"Wales-focussed studies on historical hydroclimatic change on limited, due to the nature of this study covering catchments across Wales, better understanding on the spatial and temporal changes has been gained. A quantification of the relationship between daily and monthly hydroclimatic factors and total abstraction has also not been previously published for Wales"	TRUE	FALSE	An understanding of the links between daily & monthly weather conditions and total water demand could prove useful for understanding the potential of some the technologies being developed for the water industry.  Publication and contribution to project deliverables	FALSE	TRUE	TRUE	Provides an overview of changes in historical streamflows and climatic conditions for Wales which provide useful perspective and context for other studies on the landscape and riverine environments of Wales	Geography	Single Discipline	Consult	"This work can feed into policies, planning and reviewing future water uses for public abstractions or hydropower"	FALSE	TRUE	Climate Change Assessment	Cross-border additionality	"Contributes research with direct relevance to SSC members, therefore helping to maintain engagement and promote the project further"
23	Richard	7	"Climate change impact study for future streamflow and water quality in Wales, with publication"	19	52	Completed			"2, 20, 21, 22, 24"		Project	"Study investigating future trends in mean and extreme streamflow, as well as water quality, for five catchments in Wales, in worst-case scenario future climate change."	Q1. How will future climate change impact the quantity and timing of streamflows in Wales? Q2. Is there a difference between trends seen in average and extreme hydroclimatic timeseries?  Q3. What impact will changing climate and streamflows have on water quality?	How	What	"Hydrological modelling using the Soil and Water Assessment Tool (SWAT) to generate a future daily streamflow timeseries for the hydrological years 2021-2080. Four water quality parameters daily timeseries also output from the model (suspended sediment, total nitrogen, total phosphorous, dissolved oxygen).  Models were calibrated and validated using historical gauged flow data, and driven forward using UKCP18 data representing a worst case scenario of future climate change.  All timeseries analysed using Mann-Kendall trend analysis seasonally and annually. For streamflow average flows as well as extreme high and low flows were analysed."	Modelling	"For model calibration and validation, daily streamflow (from National River Flow Archive), precipitation, and temperature (from CHESS) datasets for 1982-2015.  Future climate projections from UKCP18 regional projections on a 12km grid, all 12 perturbed parameter ensemble members used, with the average of all 12 runs being taken forward and analysed for each catchment.  Occasional historical water quality measurements obtained from Natural Resources Wales, in order to perform a validation on the model water quality output."	TRUE	TRUE	Desk study	"Data used to assess how future climate change will impact average and extreme streamflow characteristics, as well as water quality. Research paper published."	Do	"Academics, environmental regulators, all surface water abstractors, water resource managers, flood consultants"	TRUE	TRUE	TRUE	"Little work has previously been carried out to quantify the impact of future climate change on water quantity and quality in Wales specifically, and with such a detailed hydrological model, so this work fills a knowledge gap in this perspective. Future water quality in particular has been particularly poorly studied."	TRUE	FALSE	Future streamflow changes may influence the abstractable water resource for public water supply which may impact on some of the technologies being developed in the project. Publication (under review) and contribution to project deliverables	FALSE	TRUE	TRUE	"Provides a national-scale catchment-level overview of changes in future streamflows under a worst-case future climate change scenario, helping to pinpoint regional scale variation which may be important for future water resource planning"	Geography	Single Discipline	Inform	"This work can feed into policies, planning and reviewing future water uses for public abstractions or hydropower"	FALSE	TRUE	Climate Change Assessment	Cross-border additionality	"Contributes research with direct relevance to SSC members, therefore helping to maintain engagement and promote the project further"
24	Richard	7	"Climate change impact assessment study of water resources for hydropower and public water supply in Wales, with publication"	18	47	Completed			"2, 20, 21, 22, 23,"		Project	"Study investigating the impacts of future climate change induced streamflow alterations on water available for public water supply and hydropower, using two catchments in Wales as case studies."	"Q1. In what way will future climate change impact on the surface water resource which is available for abstraction and use in Wales?  Q2. What impact will future climate change have on the demand for public water supply, and therefore the water supply-demand balance?  Q3. What impact is future climate change likely to have hydropower generation in Wales?"	How	What	"Streamflow output from SWAT modelling completed previously used to access the future availability of water for abstraction at 25 run-of-river hydropower schemes in the Conwy & Tywi catchments, as well as a single public water supply abstraction in the Tywi.  For hydropower, streamflow was analysed in terms of future generation characteristics, such as change in the number of days per year generation is possible, and change in abstractable water volume.  For public water supply future demand was projected based on the relationship developed in earlier work between daily temperature and daily total water demand, water supply-demand balance modelling was then completed using the Water Evaluation And Planning (WEAP) system.  All abstraction/supply-demand balance analysis was completed using seasonal and annual Mann-Kendall trend analysis."	Modelling	"Future streamflow timeseries generated in previous WP7 work. Future increased water demand timeseries for public water supply projected based on the temperature-total water demand relationship also established in previous WP7 work, static demand scenario based on current demand, and decreased demand scenario based on dŵr Cymru Welsh Water future demand projections."	TRUE	TRUE	Desk study	Data used to assess how future climate change induced streamflow alterations will impact on the availability of water for public water supply and hydropower. Research paper published.	Do	"Academics, water companies, hydropower scheme operators, water managers, environmental regulators, surface water abstractors"	TRUE	TRUE	TRUE	"While individual water companies have drawn up future water resource and drought management plans, little work has been published previously from an academic perspective on the impacts of future climate change on public water supplies - especially at an individual case study level. In addition, the impact of future climate change on hydropower generation characteristics is particularly novel, in Wales and the wider UK & Ireland."	TRUE	FALSE	Understanding of the future abstractable water resource for public water supply which may impact on some of the technologies being developed in the project. Publication and contribution to project deliverables	FALSE	TRUE	TRUE	"Provides perspective on changes in future streamflows under a worst-case future climate change scenario, and the implications for run-of-river hydropower production and public water supply resources"	Geography	Single Discipline	Consult	"Result gathered are applied to hydropower and public water supply in particular, however the abstractable resource trend-analysis results more generally are applicable to any surface water abstractor. The results also may help to inform wider energy network/provision planning, due to the projections of future hydropower generation changes"	FALSE	TRUE	Climate Change Assessment	Cross-border additionality	It contributes to the growth and maintenance of the cluster; to incresing visibility of the demonstration sites and support uptake of the innovation technologies
25	Roberta	8	Primary School Webinars (BGWS)	57	64	Completed	1		"1, 7, 42"		Event	"The webinar is place-based 45 minute on-line workshop for primary school pupils in 4th to 6th class in school served by BGWS. Topics: it covers the natural and man made water cycle; the Blackstairs GWS scheme details; the MHP system details. The workshop is interactive and engaging with a number of hands-on activities, including a group activity to design and plan for climate action in their schools or communities."	How can we raise awareness of the water-energy nexus and climate action potential of water-related energy efficiency with primary school age children?	How		Case-study	Case Study	A video and a short introduction about pump-as-turbine and the energy recovery system at Blackstairs GWS were prepared for the class teachers; a visual presentation about the topic  and a Google Earth project showing the local area and the water supply system  were designed and used during the workshop. A number of hands on activities were also designed and facilitated during the workshops. Maps of the pipework and water supply area were provided by BGWS. Data collated included: number of pupils that took part; feedback forms with 6 questions about the content; the material provided; the participants' enjoyment; the awareness rasinign potential of the water-energy nexus and water supply in their area; and the likelihood of future climate action as a result of attending the webinar.	TRUE	TRUE	Intervention	The material generated has been used to deliver the workshops; the feedback has been used in support of the idea to expand the offer to all primary schools in the future by adapting the presentation and activiites.	Do	"Primary School children in Blackstars GWS supply area, Co. Wexford, Ireland"	FALSE	FALSE	TRUE	Theory: sharing research finding with school age children to raise awareness of the water-energy nexus. Practice: use of place-based learning to enhance the understanding of the water cycle and the water supply in their area; to raise awareness about climate change with a positive approach based on finding solutions 	TRUE	TRUE	Contribution to Dissemination and Collaboration: the primary school webinars have allowed us to engage with young people by sharing our research findings and the details of the demonstration site with MHP system in their ocality. Awareness raising about the water-energy nexus and the climate action efforts of Blackstairs GWS. It has also strenghten our collaboration with BGWS.	FALSE	FALSE	TRUE	Place-based learning; science communication and research findings dissemination	Management	Transdisciplinary	Co-create	"We were able to present contributions from engineering, geoscience, climate science and operation management (GWS manager) by involving different facilitators. Incorporating children and teachers' feedback will help planning for the sustainability of the demo site afetr project-end."	TRUE	TRUE	"Education, Outreach and Engagement"	Result-based approach	Youth and Public Engagement: this work expand the types of stakeholders involved in the cluster as well as it contributes to sharing and co-production of knowledge
26	Roberta	8	"Implementation of demonstration sites: Blackstairs GWS (IRL); Ty Mwr Wybrant (Wales, UK); Penrhyn Castle (Wales, UK) and ABP Foods (IRL)"	1	78	In Progress	"1,2,4"		"1,2, 12, 45, 28"		Installation/Demo site	"Four demonstration sites to showcase the techological solutions were planned and implemented as part of dŵr Uisce with the aim of bringing outside of the lab the technology and to demonstrate in practice how they work and how they can benefit the users. Each of the installation at the different demonstration sites underwent a process of lab testing, prototyping, implementation, feedback from other stakeholders involved. The four fall in two main categories: micro-hydropower installations and heat recovery systems. "	"How can a smart specialisation cluster be created to enable the development of integrated low-carbon and smart energy innovations for the water sector? How learning through demonstration in a smart specialisation cluster can contribute to the promotion of continuous innovation in energy and water in rural Ireland and beyond; more specifically, what can be learnt from the installation of a demonstration site that can be useful for other clusters and rural communities? How action learning, collaborative prototyping and demonstration combine to impact learning to innovate; How does a smart specialisation cluster or network of collaborating partners form; and  how does the cluster contribute to the development and diffusion of innovation in the water sector?"	How		Action-learning Research based on a case study. 	Case Study	"Development of demonstration sites which is both used to collect and produce data. Observations and reflections were documented through notetaking during interventions, as well as through direct consultation with participants in the cluster (or action learning network) using telephone, email, and direct conversation. Where necessary, technical and contractual documents were consulted. Quantitative data included: number of partners and hours of interaction between them. Qualitative data collected included type of organization and sector. Feedback about the future of the cluster was gathered and analysed."	TRUE	TRUE	Intervention	To set up other demo sites	Do	Water-energy sector stakeholders; universities and research centres; policy makers and local authorities	TRUE	TRUE	TRUE	"Theory: a structured, action-based approach to creation of a cluster as a learning network leads to the prospect of improved performance outcomes with respect to learning, communication of learning and achievement of substantive performance outcomes"	TRUE	FALSE	"This work contributes to dŵr Uisce objective to demonstrate innovative technological solutions to acelerate uptake, share knowledge and learn from people from the water sectors, final users, other reseachers that interact with the demo sites"	TRUE	TRUE	TRUE	This work fits in the Netwrok Action Learning (Management) disciplinary perspective	Management	Transdisciplinary	Co-create	Without the technological solutions being developed within the engineering disciplines and without the interactions with the other stakeholders involved the outcomes would have not been achieved. In addition ithout the demonstration sites the developed solutions would have not been accessible to a wider group of stakeholders and potential users	TRUE	TRUE	Action learning research in the water sector	Cross-border additionality	This work supports the establishment of a Smart Specialisation Cluster as well as the learning and sharing of experience.
