		Sector	Enterprise Category	Assign Level of engagement (0-none; 1-inform; 2 consult; 3-share; 4- cocreate) to stakeholders who participating																																																								
S_8	ARUP	"Professional, administration and support services"	ARUP		3		2																																																					
S_9	Ashlawn Nursing Home	Health care	Ashlawn Nursing Home																																																		2							
S_10	Auralab	"Professional, administration and support services"	Auralab	3																																																								
S_12	Ballinabranna Group Water Scheme	Utility	Water provider						3		2														4							2																												
S_14	Ballingate Group Water Scheme	Utility	Water provider						3																																																			
S_15	Ballinguiroe Tankardstown GWS	Utility	Water provider																																																				2					
S_16	Ballyshannon Leisure Centre	Sport Facilities	Ballyshannon Leisure Centre										3																																															
S_19	Birchfield Farm	Agriculture	Birchfield Farm			3																																																						
S_20	Black & Veatch	"Professional, administration and support services"	Consultancy																																																			3						
S_21	Black Boy Inn	Hospitality	Black Boy Inn													2																																												
S_22	Blackstairs Group Water Scheme	Utility	Water provider				2	2	3		2									4					4	4					2																													
S_23	Blaen Eidda Ysbyty Ifan	Agriculture	Blaen Eidda Ysbyty Ifan							3																																																		
S_24	Blaenau Gwent County Borough Council	General Government	Local authority		3																														2			2																						
S_25	BlueTech Research	Education	Higher Education					2																																																				
S_26	Boliden Tara Mines	Industry	Mining																																				2																					
S_27	Bon Secours Hospital Galway	Health care	Hospital											2																																														
S_28	Borrmont GWS	Utility	Water provider								2																																																	
S_29	BPD Limited	Industry	Plumbing and heating					2																																																				
S_30	Brandon House Hotel	Hospitality	Brandon House Hotel																2																																									
S_31	Bring It To The Lab	"Professional, administration and support services"	Consultancy					2																																																				
S_32	Bundoran Waterworld CLG	Sport Facilities	Leisure Centre										3																																															
S_33	"Business and Industry Committee, RDS"	No-profit institution	Charity	3																																																								
S_34	Byw'n Iach	Sport Facilities	Leisure Centre										3																																	2														
S_36	Calon Tysul	Sport Facilities	Leisure Centre										3																																4															
S_37	Cardiff University	Education	Higher Education		3	3																																																						
S_38	Carlow County Council	General Government	Local authority				2																																																					
S_39	Carlow IT	Education	Higher Education	3																																																								
S_40	Caulmert Ltd	"Professional, administration and support services"	Consultancy			3																																																						
S_41	Centre for Alternative Technology Wales	Education	Higher Education							3																																																		
S_42	"Club Vitae Oranmore, Galway"	Sport Facilities	Leisure Centre										3																																															
S_43	Codema	No-profit institution	Agency												2																																													
S_44	Colman Hession and �Associates Engineers	"Professional, administration and support services"	Consultancy					2																																																				
S_45	Commission for Energy Regulation	General Government	Government agency	3																																																								
S_46	Commission for Regulation of Utilities	General Government	Government agency		3			2																																																				
S_47	Consumer Council for Water	General Government	Government agency		3																																																							
S_48	Coolagh Caherleske GWS	Utility	Water provider																																																				2					
S_49	Cooleeney Cheese	Agriculture	Farm																																																									
S_50	Coolmore Park GWS	Utility	Water provider																																																									
S_51	Co-Operative Housing Ireland (CHI)	General Government	Approved Housing Body									3																																																
S_52	Coral Leisure killarney	Sport Facilities	Leisure Centre										3																																															
S_53	Coral Leisure Ltd	Sport Facilities	Leisure Centre										3	2	2	2	2																																											
S_54	Corwn Leisure Centre	Sport Facilities	Leisure Centre																																									3																
S_55	Cosyn Cymru	Industry	Dairy											2																																														
S_56	Cullahill/Seskin GWS	Utility	Water provider								2																																																	
S_57	Cully Automation	"Professional, administration and support services"	Consultancy				2	2																																																				
S_58	Cwrw Lyn Brewery	Industry	Beverage																																																									
S_59	Cyfoeth Naturiol Cymru / Natural Resources Wales	General Government	Government agency		3	3				3							2																																			2								
S_60	Cyngor Gwynedd Council	General Government	Local authority		3								3																																	2														
S_61	Dairygold	Industry	Dairy																																					2																				
S_62	DCU	Education	Higher Education				2	2																																																				
S_63	Dean of Research TCD	Education	Higher Education	3																																																								
S_64	Denbighshire County Council	General Government	Local authority																																									2		2														
S_65	Denbighshire Leisure	Sport Facilities	Leisure Centre																																									2		2														
S_66	"Department of Housing, Planning, Community & Local Government"	General Government	Government department	3			2		3											1																																								
S_67	Detectronic Ltd	"Professional, administration and support services"	Consultancy		3																																																							
S_68	Donal Mc Kenna	"Professional, administration and support services"	Consultancy												2	2																																												
S_69	Driftwood Experience Ltd	Hospitality	Caf�													2																																												
S_70	Druids Glen Hotel 	Hospitality	Hotel																																																		2							
S_71	Dublin City Council	General Government	Local authority					2																													2																							
S_72	Dulas Ltd	"Professional, administration and support services"	Consultancy	3	3					3																																																		
S_73	Dunne Technical Services	"Professional, administration and support services"	Consultancy						3																																																			
S_74	Dwr Cymru Welsh Water (DCWW)	Utility	Water provider	3	3	3		2		3								2																		2																		1						
S_76	Egnida	"Professional, administration and support services"	Consultancy			3																																																						
S_77	EIP on Water / Baur Technology	European body	Agency	3																																																								
S_78	Energy Elephant 	"Professional, administration and support services"		3																																																								
S_79	Energy Saving Trust	"Professional, administration and support services"	Consultancy	3																																																								
S_80	Engineers Ireland	No-profit institution	Professional Association					2																																																				
S_81	ENICA Ltd	"Professional, administration and support services"	Technology			3																	4																																					
S_82	Epro Advance Technology Ltd	Utility	Energy provider														2																																											
S_83	EPS Group	"Professional, administration and support services"		3				2	3					2			2			4														2																										
S_84	Feedzai	Financial and insurance activities	Risk management												2																																													
S_85	Fermanagh Omagh District Council	General Government	Local authority										3																																															
S_86	"Finance, Bangor University"	Education	Higher Education	3																																																								
S_87	Fingleton White	"Professional, administration and support services"	Consultancy											2																																														
S_88	Flintshire County Council	General Government	Local authority											2																																														
S_89	Food Technology Centre	"Professional, administration and support services"	Consultancy			3																																																						
S_90	Forta Pro	Constrution	Building company											2																																														
S_91	Forterra	Constrution	Building materials			3																																																						
S_92	Gas Networks	Utility	Energy provider					2																																																				
S_93	General Public	Households	General public					2		3								2																																										
S_95	GIP Campus	Education	Higher Education												2	2																																												
S_96	Glan Agua	"Professional, administration and support services"	Consultancy																																						2																			
S_97	GLL	Sport Facilities	Leisure Centre										3																																															
S_98	Glynn St. Mullins Group Water Scheme	Utility	Water provider						3		2																																																	
S_99	Green Connection	"Professional, administration and support services"	Consultancy														2																																											
S_100	H2 Ozone	"Professional, administration and support services"	Consultancy					2																																																				
S_101	HC Financial Training	Financial and insurance activities	Consultancy	3																																																								
S_102	Heath Group Water Scheme	Utility	Water provider				2	2																																																				
S_103	Higher Education Authority (HEA) 	General Government	Statuatory body	3																																																								
S_104	Hinds book shop	Retailing	Book shop					2																																																				
S_105	Hogg Enterprises	Agriculture	Support service						3																																																			
S_106	HSE	General Government	Agency											2	2	2																																												
S_107	IBERS	Education	Higher Education			3																																																						
S_108	Imperial Hotel Galway	Hospitality	Hotel																2																																									
S_109	Imperial Hotel Llandundo	Hospitality	Hotel																																							2																		
S_110	Innogy Renewables uk	Industry	Manufacturing			3																																																						
S_111	International Hotel Killarney	Hospitality	Hotel																2																																									
S_112	Interreg Ireland-Wales Programme 	General Government	Agency	3																																																								
S_113	Ireland-Wales PSC	General Government	Agency	3																																																								
S_114	Irish Rail	Transport	Company					2																																																				
S_115	Irish Water	Utility	Water provider	3				2									2	2																																										
S_116	JLA Hydro	"Professional, administration and support services"	Consultancy											2	2	2	2																																											
S_117	Kerry County Council	General Government	Local authority	3									3																																															
S_118	Kilanerin Group Water Scheme	Utility	Water provider						3		2																						2																											
S_119	Kilcredan GWS	Utility	Water provider																																																				2					
S_120	Kildare County Council	General Government	Local authority						3																																																			
S_121	Kilkenny County Council	General Government	Local authority				2																																																					
S_122	Killally Ballinrush GWS	Utility	Water provider																																																				2					
S_123	Kilriffith Kilmore GWS	Utility	Water provider																																																				2					
S_124	Kings Mill Kilkenny	Entertainment	Heritage site																																																					2				
S_125	Langton House Hotel 	Hospitality	Hotel																2																																									
S_126	Laois County Council	General Government	Local authority						3																																																			
S_127	Lovegrove EBS Ltd	"Professional, administration and support services"	Consultancy			3							3	2		2																																												
S_128	Mark Eire BV	"Professional, administration and support services"	Technology										3																																															
S_129	Martin J Hughes Glas Cymru	Utility	Water provider												2																																				2									
S_130	Mayo County Council	General Government	Local authority										3																																															
S_131	Mbarara University of Science and Technology	Education	Higher Education													2																																												
S_132	Menai Science Park	"Professional, administration and support services"	Business support																																												3													
S_133	Moyne GWS	Utility	Water provider																																																				1					
S_134	Mullaun Group Water Scheme	Utility	Water provider						3		2																																																	
S_135	Narraghmore Group Water Scheme	Utility	Water provider				2																																																					
S_136	National Council of Ireland	General Government	Agency					2																																																				
S_137	National Federation of Group Water Schemes (NFGWS)	Utility	Water provider	3	3		2	2	3		2			2						3					3	3																																		
S_138	National Research Network - Low Carbon Energy & Environment	Education	Higher Education	3																																																								
S_139	National Trust (NT)	No-profit institution	Charity							3													3	3																											3	2	2							
S_140	National Trust Wales	No-profit institution	Charity	3	3																		4	4																											3	2	2							
S_141	Nenagh Swimming Pool	Sport Facilities	Leisure Centre																																																		2							
S_142	Neville Park Hotels	Hospitality	Hotel																2																																									
S_144	Nicholas O'Dwyer Ltd	"Professional, administration and support services"	Consultancy					2																																																				
S_145	Noel Lawlor Consulting Engineers	"Professional, administration and support services"	Consultancy																																																		2							
S_146	Nova Centre Prestatyn	Sport Facilities	Leisure Centre																																									3		4														
S_147	NTC - Nexus Technologies Concepts	"Professional, administration and support services"	Consultancy											2			2																																											
S_148	NUI Galway	Education	Higher Education		3																																																							
S_149	Ogwen Hydro	"Professional, administration and support services"	Consultancy																																																									2
S_150	Operational Support Services Limited	"Professional, administration and support services"	Consultancy		3																																																							
S_151	OzoneTech	"Professional, administration and support services"	Technology					2																																																				
S_152	Pant Glas Padog Conwy	Agriculture	Farm							3																																																		
S_153	Parkwood Leisure	Sport Facilities	Leisure Centre										3																																															
S_154	Patrickswell GWS	Utility	Water provider																																																				1					
S_155	PepsiCo Ireland	Industry	Beverage																																																		2							
S_156	Pool Sentry	Sport Facilities	Leisure Centre										3																																	4														
S_157	Portarlington Leisure Centre	Sport Facilities	Leisure Centre										3																																															
S_158	Portmagee Whiskey distillery	Industry	Beverage																																																									
S_159	Q -Blue BV	Industry	Manufacturing					2											2																																									
S_160	Rain Surfer	"Professional, administration and support services"	Technology					3																																																				
S_162	Rhyl Leisure Centre	Sport Facilities	Leisure Centre																																									3		4														
S_163	Roscommon City Council	General Government	Local authority				2																																																					
S_164	RPS Group	"Professional, administration and support services"	Consultancy	3				2						2																																														
S_165	Ruthin Leisure Centre	Sport Facilities	Leisure Centre																																									3																
S_166	Ryan Hanley Ltd	"Professional, administration and support services"	Consultancy					2																																																				
S_167	Saudi Aramco	Industry	Oil											2																																														
S_168	SC2 leisure centre	Sport Facilities	Leisure Centre																																									3		4														
S_169	Shannon Swimming & Leisure Centre	Sport Facilities	Leisure Centre										3																																															
S_170	shri Ram Rayons	Industry	Manufacturing														2																																											
S_171	Siemens	Industry	Technology					2																																																				
S_172	Southern Regional Assembly	General Government	Agency				2	2	3					2	2	2	2		2																																	2								
S_174	Sustainability Lab	Education	Higher Education							3																																																		
S_175	Sustainable Energy Authority of Ireland	General Government	Agency		3																																																							
S_176	Sustainable Travel Ireland	"Professional, administration and support services"	Tourism																2																																									
S_177	Talbot Hotel Group	Hospitality	Hotel																2																																									
S_178	Talbot Hotel Stillorgan	Hospitality	Hotel																																																		2							
S_179	Tan y Lan Fach	Hospitality	Accommodation											2	2	2	2																																											
S_180	TCFG	No-profit institution	Community																																															2										
S_181	Technological University Dublin	Education	Higher Education											2	2		2																																											
S_182	Temple Gate Hotel	Hospitality	Hotel																2																																									
S_183	The Brown's	Hospitality	Hotel			3																																																						
S_184	The Brunner CBS	Education	Higher Education																																																						2			
S_185	The Clanard Court Hotel	Hospitality	Hotel																2																																									
S_186	The Grand Hotel Dublin	Hospitality	Hotel																2																																									
S_187	The Green Valleys CIC	No-profit institution	Community											2																																														
S_188	The Rediscovery Centre	No-profit institution	Charity													2																											2																	
S_189	The Savoy Hotel 	Hospitality	Hotel																2																																									
S_190	The Start	Hospitality	Accommodation			3																																																						
S_191	The University of the West of England	Education	Higher Education		3																																																							
S_192	The Watershed	Sport Facilities	Leisure Centre										3																																															
S_193	The Watershed Kilkenny	Sport Facilities	Leisure Centre										3																																															
S_194	Tipperary County Council	General Government	Local authority				2	2	3					2																																														
S_196	UCD	Education	Higher Education					2																																																				
S_197	UMNG	Education	Higher Education														2																																											
S_198	Universidad de Valencia	Education	Higher Education											2	2		2																																											
S_199	Universitat Jaume I	Education	Higher Education					2																																																				
S_200	University of Cordoba	Education	Higher Education	3	3																																																							
S_201	University of the Philippines	Education	Higher Education													2																																												
S_202	VEOLIA Environmental Services Technical Solutions Limited	"Professional, administration and support services"	Consultancy	3																																																								
S_203	Verde Environmental Consulting	"Professional, administration and support services"	Consultancy											2																																														
S_204	volunteer	Households	General public															2																																										
S_205	Walterstown GWS	Utility	Water provider																																																				2					
S_206	Watef Network	No-profit institution	Network	3	3																																																							
S_207	Water CoLab	"Professional, administration and support services"	Business support					2																																																				
S_208	Water Loss Research & Analysis Ltd	"Professional, administration and support services"	Consultancy		3																																																							
S_209	Water Turbines PLC	Constrution	Infrastructure	3	3																																																							
S_210	Waterford County Council	General Government	Local authority				2																																																					
S_211	Waterways Ireland	General Government	Agency											2																																														
S_212	Waterwise	No-profit institution	Advocacy	3																																																								
S_213	Welsh Assembly	General Government	Government department		3																																																							
S_214	Welsh Government	General Government	Government department			3								2	2	2	2	2																																		2								
S_215	WEW Consulting	"Professional, administration and support services"	Consultancy						3																																																			
S_216	Wexford City Council	General Government	Local authority				2																																																					
S_217	Wexford County Council	General Government	Local authority						3											1																																								
S_218	Wicklow County Council	General Government	Local authority				2		3																																																			
S_219	Wicklow Uplands council	No-profit institution	Voluntary organisation											2		2																																												
S_220	Woodford Dolmen Hotel	Hospitality	Hotel																2																																									
S_221	Yangzhou university	Education	Higher Education															2																																										
S_222	Ymgynghoriaeth Gwynedd Consultancy	"Professional, administration and support services"	Consultancy																																																								2	
S_223	Ynni Llyn - community energy scheme	No-profit institution	Community							3																																																		
S_224	Ynni Ogwen	Utility	Energy provider							3																																																		
S_225	Ynys Resources Ltd	"Professional, administration and support services"	Consultancy		3																																																							
S_226	Arbikie Distillery	Industry	Beverage																																																							4		
S_161	Rathnure National School	Education	Primary Education																						3	3																																		
S_35	Caim National School	Education	Primary Education																						2	2																																		
S_173	St Joseph Donard National School	Education	Primary Education																						2	2																																		
S_13	Ballinabranna National School	Education	Primary Education																						3																																			
S_143	Newpark Comprehensive School	Education	Secondary education																								4																																	
S_75	ECOUNESCO	No-profit institution	Charity																									3																																
S_11	Ballacolla Group Water Scheme	Utility	Water provider																											2																														
S_94	Gibneys of Malahide	Hospitality	Pub																																													3												
S_227	Mountain Studios	Utility	Water provider																																																2									
S_228	The Royal Victoria Hotel	Utility	Water provider																																																2									
S_229	Geosmart Decision	Utility	Water provider																																																	2								
S_230	University of Bath	Utility	Water provider																																																	2								
S_231	University of Exeter	Utility	Water provider																																																	2								
S_232	Pforzheim University (Germany)	Utility	Water provider																																																	2								
S_233	Northumbrian Water	Utility	Water provider																																																	2								
S_18	Bangor University St Mary's Student Accommodation	Hospitality	Bangor University St Mary's Student Accommodation																																														2											
S_234	Arfon Leisure Centre	Sport Facilities	Leisure Centre																																											4														
S_235	Bangor Leisure Centre	Sport Facilities	Leisure Centre																																											4														
S_236	Glaslyn Leisure Centre	Sport Facilities	Leisure Centre																																											4														
